"","Bridge_ID","Built_Year","County_Code","Deck_Cond","Superstructure_Cond","Substructure_Cond","Operating_Rating"
"1","00000000000F303",1932,51,"4","5","5",24.7
"2","00000000000F304",1974,51,"5","5","4",7.3
"3","00000000000F310",1948,115,"5","5","7",21.6
"4","00000000000F311",1979,115,"5","7","8",31.5
"5","00000000000F315",1977,3,"5","5","7",40.6
"6","00000000000F317",1980,3,"7","8","7",47.7
"7","00000000000F318",1980,3,"7","8","6",47.7
"8","00000000000F321",1994,115,"5","8","8",31.2
"9","00000000000F323",1999,3,"7","7","5",70.2
"10","00000000000F324",2006,3,"7","7","7",53.9
"11","00000000000F325",1996,3,"7","7","7",58.8
"12","00000000000F326",1996,51,"7","7","7",53.9
"13","00000000000F328",1981,3,"7","7","7",57.2
"14","00000000000F329",2000,7,"7","7","8",57.6
"15","00000000000F330",2003,115,"7","7","8",63.7
"16","00000000000F331",2004,51,"7","7","8",63.7
"17","00000000000F905",1977,78,"6","6","5",28.1
"18","00000000000F906",1977,78,"7","7","6",32.6
"19","00000000000F916",1985,78,"7","7","7",43.5
"20","00000000000F917",1981,78,"5","6","5",33.6
"21","00000000000F918",1988,78,"N","N","N",89.8
"22","00000000000F919",1996,78,"7","8","8",58.7
"23","00000000000F925",2005,78,"7","7","6",78.4
"24","00000000000F926",2005,78,"7","7","8",63.7
"25","00000000000F927",2005,78,"7","7","8",63.7
"26","00000000000F928",2006,78,"6","8","7",75.5
"27","00000000000F929",1960,78,"7","7","6",61.1
"28","00000000000F930",2005,78,"7","7","7",62.1
"29","00000000000F932",2007,78,"N","7","8",67
"30","00000000000F933",2008,78,"7","7","8",71.8
"31","00000000000F934",2007,78,"7","7","8",78.4
"32","000032530-00062",1951,57,"6","6","7",32.7
"33","000032530-00075",1993,57,"7","8","7",49.9
"34","000032530-00079",1976,57,"8","6","6",20.9
"35","000032530-00081",1977,57,"6","7","6",42.6
"36","000032530-00123",1993,57,"7","7","7",49
"37","000032578-00043",1994,121,"7","7","7",80.7
"38","0000F55439B0001",2012,53,"N","N","N",45.5
"39","090201000001001",1997,99,"8","8","8",81.3
"40","090201000001002",1967,99,"6","7","7",25.6
"41","090201000001003",1973,99,"6","6","6",19.1
"42","090201000001004",1991,99,"7","7","7",40.9
"43","090201000001005",1973,99,"7","7","7",25.9
"44","090201000001006",1975,99,"7","7","6",43.7
"45","090202000001007",1953,3,"6","7","6",35.6
"46","090202000001011",1951,3,"5","5","5",15.2
"47","090202000001012",1953,3,"5","7","5",16.2
"48","090202000001017",1951,3,"7","7","7",36.3
"49","090202000001018",1988,3,"7","7","5",24
"50","090202000001019",1954,3,"6","7","7",20.7
"51","090202000001021",1975,3,"7","7","7",35
"52","090202000001024",1956,3,"6","7","7",62.7
"53","090202000001025",2001,3,"8","8","5",37.3
"54","090202000001027",1952,3,"7","7","7",NA
"55","090203000001028",1985,119,"6","7","7",67.2
"56","090203000001029",1980,119,"6","6","5",29.8
"57","090203000001030",1990,119,"7","7","6",35.3
